molecular_weight,logP,TPSA,H_bond_donors,H_bond_acceptors,rotatable_bonds,ring_count,label
455.5510000000003,4.402500000000004,90.93,1.0,7.0,7.0,2.0,1.0
582.6570000000003,4.694500000000004,137.03,2.0,9.0,9.0,5.0,1.0
184.491,2.3528000000000002,9.23,0.0,1.0,3.0,0.0,1.0
106.099101778,-1.6094,83.55,3.0,3.0,2.0,0.0,1.0
58.443,-5.992,0.0,0.0,0.0,0.0,0.0,1.0
191.19,1.7411999999999999,67.01,2.0,3.0,1.0,2.0,1.0
392.4110000000001,2.3476,101.65,2.0,7.0,2.0,5.0,1.0
364.357,1.7851999999999997,101.65,2.0,7.0,1.0,5.0,1.0
340.4630000000001,4.370100000000004,43.370000000000005,0.0,3.0,0.0,5.0,1.0
151.933,0.04340000000000005,29.46,1.0,2.0,0.0,2.0,1.0
181.191,0.3466000000000001,83.55000000000001,3.0,3.0,3.0,1.0,1.0
172.268,1.6985,40.46,2.0,2.0,1.0,1.0,1.0
533.9380000000001,5.1266200000000035,91.16000000000001,1.0,7.0,9.0,4.0,1.0
318.7560000000001,3.8130000000000033,63.60000000000001,1.0,3.0,5.0,2.0,1.0
434.4710000000004,2.3474000000000004,86.37,1.0,4.0,4.0,5.0,1.0
315.84400000000005,4.384200000000003,12.47,0.0,2.0,3.0,3.0,1.0
208.26099999999994,1.1618,44.120000000000005,0.0,4.0,3.0,2.0,1.0
94.11299999999999,1.3921999999999999,20.23,1.0,1.0,0.0,1.0,1.0
313.78800000000007,3.4292000000000016,36.86,1.0,4.0,0.0,4.0,1.0
326.83099999999996,3.7227000000000023,30.870000000000005,1.0,4.0,0.0,4.0,1.0
425.9200000000002,3.353200000000002,78.82,2.0,5.0,5.0,5.0,1.0
327.815,3.7714000000000025,28.07,0.0,4.0,0.0,4.0,1.0
1736.1849999999993,10.812700000000007,340.12,6.0,28.0,15.0,14.0,1.0
346.85800000000006,4.404500000000003,24.940000000000005,0.0,4.0,4.0,3.0,1.0
200.28199999999998,0.8190000000000001,58.2,2.0,2.0,7.0,0.0,1.0
323.4400000000001,4.839900000000004,50.94,1.0,4.0,3.0,3.0,1.0
452.55100000000033,3.9598800000000027,81.02000000000001,0.0,7.0,12.0,3.0,1.0
396.44300000000015,2.0945999999999994,106.94,3.0,4.0,8.0,3.0,1.0
274.755,2.644820000000001,42.21,1.0,4.0,1.0,3.0,1.0
336.435,3.758200000000003,34.47,0.0,4.0,2.0,5.0,1.0
321.37600000000003,3.8845000000000027,40.46,0.0,4.0,1.0,4.0,1.0
372.4210000000003,3.0778000000000008,85.89,2.0,5.0,10.0,2.0,1.0
852.946,1.2457000000000107,236.74999999999994,5.0,12.0,7.0,6.0,1.0
498.6200000000003,3.944200000000003,94.17,1.0,8.0,9.0,2.0,1.0
457.6580000000002,6.185100000000007,40.540000000000006,1.0,3.0,3.0,5.0,1.0
520.6700000000004,5.6977000000000055,86.22,1.0,6.0,7.0,5.0,1.0
470.5220000000003,2.1057999999999995,125.40000000000002,3.0,6.0,10.0,3.0,1.0
526.6340000000005,3.3756000000000013,114.24999999999999,1.0,9.0,10.0,3.0,1.0
293.45400000000006,5.084600000000005,3.24,0.0,1.0,5.0,3.0,1.0
315.844,4.384200000000003,12.47,0.0,2.0,3.0,3.0,1.0
403.51900000000023,3.8717000000000033,98.07000000000001,3.0,4.0,6.0,4.0,1.0
361.87600000000003,4.354180000000004,30.270000000000003,0.0,3.0,1.0,4.0,1.0
303.402,2.1050000000000004,49.769999999999996,1.0,4.0,4.0,3.0,1.0
322.40799999999996,3.546400000000003,24.94,0.0,4.0,2.0,4.0,1.0
340.4200000000002,1.4621,106.94000000000001,3.0,4.0,7.0,2.0,1.0
396.31100000000015,4.785800000000003,142.04,1.0,7.0,7.0,3.0,1.0
430.5480000000003,4.133900000000003,34.17,0.0,5.0,6.0,5.0,1.0
471.85600000000017,4.507700000000005,35.94,1.0,4.0,5.0,4.0,1.0
265.25,2.0092000000000003,105.36,2.0,6.0,3.0,2.0,1.0
369.42100000000005,2.0546999999999995,86.01,2.0,5.0,2.0,4.0,1.0
324.6430000000001,3.2842400000000014,83.78999999999999,5.0,2.0,2.0,1.0,1.0
412.4500000000002,0.9857200000000006,124.14999999999999,2.0,8.0,2.0,4.0,1.0
609.7230000000004,6.018000000000007,111.01000000000002,1.0,8.0,10.0,5.0,1.0
248.3843053339999,3.2997200000000024,20.310000000000002,0.0,2.0,5.0,2.0,1.0
835.1679999999999,-0.9733999999999992,188.88999999999996,7.0,9.0,13.0,1.0,1.0
283.415,3.5675000000000026,32.26,2.0,2.0,7.0,2.0,1.0
321.87700000000007,4.522590000000004,23.96,1.0,3.0,2.0,3.0,1.0
873.09,5.377400000000005,170.06,3.0,14.0,8.0,7.0,1.0
308.3780000000001,1.5852999999999995,87.66,3.0,5.0,8.0,1.0,1.0
508.8040000000006,4.256280000000002,167.57999999999998,10.0,4.0,19.0,0.0,1.0
412.4960000000002,3.5928000000000004,92.26,1.0,9.0,5.0,4.0,1.0
548.7350000000004,4.133100000000004,70.24000000000001,0.0,6.0,0.0,8.0,1.0
294.31,2.0103,68.17,1.0,4.0,1.0,3.0,1.0
368.44100000000014,1.2063199999999996,73.71000000000001,1.0,6.0,2.0,4.0,1.0
394.46700000000004,3.852300000000003,53.99000000000001,0.0,5.0,2.0,5.0,1.0
460.43900000000025,1.0728999999999993,146.46,2.0,10.0,5.0,4.0,1.0
389.83900000000017,1.8569999999999995,93.11000000000001,3.0,5.0,6.0,3.0,1.0
447.61900000000014,4.9317000000000055,60.77000000000001,2.0,4.0,4.0,5.0,1.0
224.21999999999997,-1.573999999999999,82.05,1.0,7.0,2.0,2.0,1.0
299.355,3.948900000000002,63.25,2.0,4.0,3.0,3.0,1.0
332.491,5.055200000000005,19.03,1.0,1.0,6.0,4.0,1.0
598.0520000000004,4.611300000000004,129.47,1.0,10.0,7.0,5.0,1.0
578.6620000000001,3.919100000000003,108.55000000000001,1.0,9.0,8.0,6.0,1.0
344.49200000000013,4.154700000000003,72.83000000000001,1.0,5.0,16.0,0.0,1.0
343.51100000000014,6.0106200000000065,42.230000000000004,1.0,3.0,11.0,2.0,1.0
220.24699999999999,-3.1632999999999987,74.27,1.0,5.0,3.0,0.0,1.0
631.6660000000005,7.3032000000000075,120.24,1.0,9.0,10.0,5.0,1.0
218.29299999999992,1.2432999999999996,66.76,2.0,4.0,9.0,0.0,1.0
271.36,3.424800000000002,30.49,1.0,3.0,7.0,2.0,1.0
358.42300000000006,2.431400000000001,110.57,2.0,7.0,4.0,3.0,1.0
473.0130000000001,4.878500000000005,81.07999999999998,2.0,4.0,5.0,4.0,1.0
165.19199999999995,1.7407,49.33,2.0,2.0,2.0,1.0,1.0
435.5260000000001,5.1525000000000025,83.47,2.0,5.0,6.0,4.0,1.0
484.55900000000037,3.7695000000000016,118.56,1.0,11.0,7.0,4.0,1.0
437.6280000000004,4.097500000000004,36.02,0.0,4.0,5.0,6.0,1.0
331.91200000000003,5.0975000000000055,3.24,0.0,2.0,3.0,3.0,1.0
356.56,4.404300000000004,6.48,0.0,4.0,2.0,4.0,1.0
318.445,4.659280000000004,27.03,0.0,3.0,0.0,4.0,1.0
226.026,0.7471000000000001,61.6,0.0,4.0,1.0,1.0,1.0
20.027203556,-0.8247,31.5,0.0,0.0,0.0,0.0,1.0
399.57500000000016,5.101000000000004,66.4,2.0,2.0,2.0,4.0,1.0
449.88700000000034,3.303600000000001,75.69000000000001,0.0,8.0,4.0,5.0,1.0
301.386,2.7421000000000015,72.72,4.0,4.0,7.0,2.0,1.0
398.93400000000014,3.664100000000002,35.94,1.0,4.0,5.0,4.0,1.0
349.1619999999999,3.0347,98.25999999999999,2.0,4.0,4.0,1.0,1.0
292.426,4.019800000000004,6.48,0.0,2.0,4.0,3.0,1.0
291.822,3.7422200000000023,21.259999999999998,1.0,2.0,6.0,2.0,1.0
490.55300000000045,3.769200000000003,126.23000000000002,1.0,9.0,14.0,2.0,1.0
765.038,6.434000000000007,161.21,4.0,10.0,12.0,5.0,1.0
290.40999999999997,4.404300000000004,6.48,0.0,2.0,0.0,4.0,1.0
408.2850000000001,4.720000000000003,77.25,1.0,6.0,4.0,3.0,1.0
331.84700000000004,3.398100000000002,26.79,0.0,3.0,3.0,3.0,1.0
487.38000000000034,2.936300000000002,109.11000000000001,2.0,8.0,11.0,2.0,1.0
277.36699999999996,4.428700000000004,12.47,0.0,2.0,0.0,4.0,1.0
431.6200000000001,5.959300000000008,40.540000000000006,1.0,3.0,3.0,5.0,1.0
524.5890000000003,4.416000000000004,86.33000000000001,1.0,8.0,9.0,4.0,1.0
600.7390000000004,5.409900000000005,92.94,3.0,5.0,10.0,5.0,1.0
331.872,3.631400000000003,18.84,0.0,4.0,0.0,4.0,1.0
769.9979999999998,5.5579000000000045,141.06,2.0,10.0,7.0,6.0,1.0
277.440610668,3.3834000000000017,12.47,0.0,2.0,3.0,4.0,1.0
323.465,3.785320000000003,18.84,0.0,4.0,0.0,4.0,1.0
297.267,-2.6318999999999972,103.59,0.0,9.0,6.0,4.0,1.0
268.268,2.437100000000001,63.60000000000001,1.0,3.0,2.0,3.0,1.0
330.432,3.5783200000000024,30.870000000000005,1.0,5.0,0.0,4.0,1.0
266.21799999999996,4.0706000000000016,37.3,1.0,1.0,2.0,2.0,1.0
666.7240000000002,4.697800000000004,144.07999999999998,1.0,12.0,9.0,6.0,1.0
424.33200000000005,2.403000000000001,68.78,1.0,5.0,2.0,4.0,1.0
296.374,2.735500000000001,48.470000000000006,1.0,4.0,3.0,3.0,1.0
415.4750000000002,1.8426999999999993,111.25999999999999,2.0,8.0,2.0,4.0,1.0
299.40299999999996,2.1309000000000005,36.660000000000004,0.0,6.0,0.0,4.0,1.0
416.43000000000023,2.724800000000001,117.0,1.0,8.0,6.0,3.0,1.0
1814.258999999999,10.65230000000001,357.86,6.0,28.0,17.0,14.0,1.0
148.20899999999997,1.5061,24.92,1.0,2.0,1.0,2.0,1.0
153.26899999999998,2.4353000000000007,3.24,0.0,1.0,0.0,1.0,1.0
535.0810000000004,4.366000000000004,94.17,1.0,8.0,9.0,2.0,1.0
347.41799999999995,2.458,52.65,1.0,3.0,1.0,4.0,1.0
178.151,0.6975999999999996,83.92,2.0,5.0,2.0,2.0,1.0
330.45600000000013,2.9907200000000014,68.29,1.0,7.0,4.0,2.0,1.0
224.30399999999992,2.772120000000001,46.34,0.0,3.0,5.0,1.0,1.0
549.6890000000002,5.413700000000006,93.14000000000001,1.0,6.0,8.0,5.0,1.0
310.39300000000003,4.396800000000003,46.53,1.0,2.0,4.0,3.0,1.0
454.5510000000001,6.244600000000004,51.02,0.0,6.0,5.0,5.0,1.0
295.382,3.4076200000000014,32.7,1.0,3.0,0.0,4.0,1.0
397.90600000000006,3.704500000000003,37.71,0.0,5.0,1.0,5.0,1.0
266.388,3.206900000000002,15.27,1.0,2.0,4.0,3.0,1.0
311.38100000000003,2.757100000000001,30.93,0.0,4.0,2.0,4.0,1.0
267.397,4.253400000000003,3.24,0.0,2.0,2.0,3.0,1.0
271.27299999999997,0.8140999999999998,107.49000000000002,1.0,6.0,3.0,2.0,1.0
312.409,3.900100000000003,43.370000000000005,0.0,3.0,1.0,4.0,1.0
859.0630000000001,4.987300000000005,170.06,3.0,14.0,7.0,7.0,1.0
445.00600000000014,5.913480000000007,47.26,1.0,3.0,7.0,4.0,1.0
197.234,0.6959,64.71000000000001,2.0,4.0,4.0,1.0,1.0
253.34900000000002,2.3429,11.41,0.0,3.0,0.0,4.0,1.0
410.4700000000001,2.088600000000001,106.94000000000001,3.0,4.0,8.0,3.0,1.0
388.37600000000015,2.1348000000000003,124.83999999999999,1.0,8.0,6.0,2.0,1.0
418.4940000000002,3.579100000000002,113.83,0.0,6.0,11.0,2.0,1.0
190.28300000000002,0.8738,71.96000000000001,2.0,2.0,1.0,1.0,1.0
259.353,2.782700000000001,60.17,2.0,4.0,6.0,2.0,1.0
649.5300000000001,3.5046000000000026,122.29,1.0,6.0,8.0,5.0,1.0
264.372,3.918000000000003,15.27,1.0,2.0,3.0,3.0,1.0
340.4770000000002,3.4039800000000033,42.63,0.0,6.0,0.0,4.0,1.0
279.383,3.9624000000000033,12.47,0.0,2.0,3.0,3.0,1.0
358.9570000000001,4.814100000000004,6.48,0.0,2.0,8.0,3.0,1.0
679.801,5.490600000000006,127.22,0.0,11.0,9.0,7.0,1.0
367.34800000000007,2.868800000000001,73.86,1.0,6.0,5.0,2.0,1.0
337.375,2.862300000000001,86.63000000000001,3.0,3.0,2.0,4.0,1.0
348.35800000000006,2.0796,81.42000000000002,1.0,6.0,1.0,5.0,1.0
221.30300000000003,3.150500000000002,12.03,1.0,1.0,0.0,4.0,1.0
135.16599999999997,1.645,29.1,1.0,1.0,1.0,1.0,1.0
371.3930000000002,2.583800000000001,103.55000000000001,1.0,8.0,5.0,3.0,1.0
381.39300000000014,-2.0627999999999984,208.65,6.0,11.0,7.0,3.0,1.0
448.4750000000002,4.259200000000003,107.77,1.0,7.0,7.0,3.0,1.0
344.911,4.335800000000003,6.48,0.0,3.0,1.0,4.0,1.0
214.33401777999995,1.9775999999999994,39.260000000000005,2.0,2.0,5.0,2.0,1.0
267.32800000000003,3.4025000000000025,29.540000000000003,0.0,2.0,2.0,3.0,1.0
370.49600000000015,5.8607800000000045,36.26,0.0,3.0,2.0,5.0,1.0
493.04700000000014,5.100600000000005,63.599999999999994,1.0,3.0,7.0,4.0,1.0
991.0500000000004,0.5112000000000056,331.01000000000005,9.0,20.0,10.0,8.0,1.0
246.3469999999999,2.0234999999999994,66.76,2.0,4.0,11.0,0.0,1.0
2554.100999999995,-7.346599999999981,999.5900000000004,36.0,42.0,35.0,10.0,1.0
336.39500000000004,2.6538000000000004,65.53999999999999,1.0,4.0,1.0,4.0,1.0
345.439,2.891800000000001,55.839999999999996,0.0,5.0,6.0,3.0,1.0
312.844,4.648900000000004,15.27,1.0,2.0,3.0,3.0,1.0
280.415,3.549100000000003,6.48,0.0,2.0,4.0,3.0,1.0
209.27099999999993,0.046869999999999745,110.64,4.0,2.0,0.0,1.0,1.0
609.7230000000004,6.018000000000007,111.01000000000002,1.0,8.0,10.0,5.0,1.0
755.9709999999999,5.167800000000004,141.06,2.0,10.0,6.0,6.0,1.0
873.0899999999999,5.377400000000005,170.06,3.0,14.0,8.0,7.0,1.0
539.6040000000004,4.843100000000005,111.00999999999998,1.0,8.0,10.0,3.0,1.0
482.55200000000036,4.555800000000004,81.01,1.0,7.0,7.0,4.0,1.0
380.9129999999999,4.481400000000002,12.53,0.0,1.0,0.0,5.0,1.0
366.4710000000001,3.8840200000000014,73.8,1.0,7.0,3.0,4.0,1.0
336.395,2.6538000000000004,65.53999999999999,1.0,4.0,1.0,4.0,1.0
510.5530000000004,4.111000000000003,68.31000000000002,0.0,7.0,8.0,3.0,1.0
280.14300000000003,0.8967999999999998,57.61,1.0,3.0,1.0,2.0,1.0
361.445,3.282700000000002,37.71,0.0,5.0,1.0,5.0,1.0
296.37799999999993,1.2739199999999993,49.550000000000004,0.0,6.0,0.0,4.0,1.0
376.4780000000002,3.164500000000002,77.52000000000001,1.0,7.0,6.0,2.0,1.0
376.36761066800017,3.1366000000000014,43.97,0.0,2.0,3.0,4.0,1.0
340.41900000000004,5.350000000000003,37.3,1.0,2.0,4.0,3.0,1.0
475.63600000000025,5.073400000000006,90.28999999999999,1.0,7.0,10.0,3.0,1.0
611.4399999999999,5.907300000000004,120.21999999999998,2.0,6.0,8.0,5.0,1.0
358.42300000000006,2.431400000000001,110.57,2.0,7.0,4.0,3.0,1.0
435.5010000000004,4.161700000000003,94.91000000000001,2.0,3.0,9.0,3.0,1.0
288.39000000000004,3.0524000000000013,52.6,0.0,6.0,4.0,1.0,1.0
422.20400000000006,1.1305999999999996,44.0,0.0,4.0,3.0,4.0,1.0
237.06399999999994,-0.8347000000000004,84.94000000000001,3.0,5.0,5.0,2.0,1.0
412.41581422400014,2.5377800000000006,160.94000000000003,4.0,6.0,4.0,4.0,1.0
425.4673053340002,1.7323999999999995,135.95,3.0,9.0,8.0,4.0,1.0
284.35200000000003,2.1867,57.150000000000006,1.0,5.0,0.0,5.0,1.0
611.7390000000004,6.478400000000008,111.00999999999999,1.0,8.0,12.0,4.0,1.0
314.42181422400006,3.466380000000002,83.18,1.0,5.0,4.0,4.0,1.0
273.35699999999997,2.01,66.15,1.0,2.0,5.0,2.0,1.0
367.10700000000014,3.0496000000000016,58.559999999999995,2.0,3.0,2.0,3.0,1.0
291.39799999999997,2.916500000000002,18.84,0.0,3.0,0.0,4.0,1.0
457.3100000000001,3.428200000000002,116.94999999999999,2.0,7.0,6.0,2.0,1.0
654.8380000000005,1.8880000000000008,208.36999999999998,9.0,11.0,5.0,1.0,1.0
609.8370000000002,4.4783000000000035,120.23000000000002,0.0,11.0,6.0,2.0,1.0
292.2840000000001,0.7279999999999995,141.44,2.0,9.0,3.0,3.0,1.0
407.42900000000014,4.949400000000003,56.47,0.0,5.0,0.0,8.0,1.0
309.388,3.055600000000002,18.84,0.0,3.0,0.0,4.0,1.0
193.202,1.5702999999999996,55.4,1.0,3.0,2.0,1.0,1.0
228.33899999999997,3.100100000000001,27.82,2.0,1.0,3.0,3.0,1.0
257.482,-0.5714000000000001,84.94,3.0,5.0,4.0,2.0,1.0
280.452,5.884500000000005,37.3,1.0,1.0,14.0,0.0,1.0
305.41799999999995,2.0082,49.77000000000001,1.0,4.0,8.0,2.0,1.0
226.22799999999995,-0.053300000000000014,75.99000000000001,2.0,5.0,2.0,2.0,1.0
853.9180000000005,3.735700000000004,221.28999999999994,4.0,14.0,10.0,7.0,1.0
413.4260000000003,2.881800000000001,75.69000000000001,0.0,8.0,4.0,5.0,1.0
188.244305334,2.1459200000000003,22.0,0.0,2.0,2.0,2.0,1.0
265.36,2.4789000000000003,19.37,0.0,3.0,0.0,4.0,1.0
883.1059999999999,5.423800000000005,171.2,4.0,14.0,12.0,8.0,1.0
267.24499999999995,-0.19628000000000084,133.07999999999998,2.0,6.0,3.0,2.0,1.0
333.49999999999994,5.350800000000005,3.24,0.0,2.0,0.0,5.0,1.0
440.42000000000024,0.24410000000000065,219.33000000000004,6.0,10.0,9.0,3.0,1.0
251.24599999999998,-0.9508000000000005,119.30999999999999,3.0,8.0,2.0,3.0,1.0
401.8460000000001,3.9703000000000026,87.07000000000001,2.0,4.0,2.0,4.0,1.0
1022.2389999999997,2.3235000000000117,231.19999999999996,4.0,14.0,10.0,9.0,1.0
301.3860000000001,2.9568000000000003,72.72,4.0,4.0,7.0,2.0,1.0
144.177,2.1111,24.39,1.0,2.0,0.0,2.0,1.0
511.50800000000044,-3.7812999999999954,225.5,5.0,11.0,10.0,3.0,1.0
648.2000000000004,6.900200000000009,111.00999999999999,1.0,8.0,12.0,4.0,1.0
308.50600000000003,6.363000000000007,26.3,0.0,2.0,15.0,0.0,1.0
177.03,2.4857000000000005,20.23,1.0,1.0,1.0,1.0,1.0
650.9759999999999,3.9527000000000014,92.78,3.0,4.0,5.0,2.0,1.0
255.25199999999998,3.2461200000000012,51.81,0.0,4.0,2.0,3.0,1.0
667.765,5.813700000000006,117.98999999999998,0.0,10.0,8.0,7.0,1.0
282.4642035559999,5.884500000000005,37.3,1.0,1.0,14.0,0.0,1.0
686.8090000000004,6.700100000000008,114.25,1.0,9.0,11.0,6.0,1.0
